Freq.	V(vout)
1.00000000000000e+000	(-3.02536675131738e+000dB,1.79968606497167e+002°)
1.02329299228075e+000	(-3.02536666954666e+000dB,1.79967875248170e+002°)
1.04712854805090e+000	(-3.02536658392221e+000dB,1.79967126966168e+002°)
1.07151930523761e+000	(-3.02536649426241e+000dB,1.79966361254411e+002°)
1.09647819614318e+000	(-3.02536640037707e+000dB,1.79965577706904e+002°)
1.12201845430196e+000	(-3.02536630206706e+000dB,1.79964775908198e+002°)
1.14815362149688e+000	(-3.02536619912383e+000dB,1.79963955433166e+002°)
1.17489755493953e+000	(-3.02536609132905e+000dB,1.79963115846777e+002°)
1.20226443461741e+000	(-3.02536597845405e+000dB,1.79962256703867e+002°)
1.23026877081238e+000	(-3.02536586025942e+000dB,1.79961377548905e+002°)
1.25892541179417e+000	(-3.02536573649445e+000dB,1.79960477915745e+002°)
1.28824955169313e+000	(-3.02536560689662e+000dB,1.79959557327388e+002°)
1.31825673855641e+000	(-3.02536547119104e+000dB,1.79958615295718e+002°)
1.34896288259165e+000	(-3.02536532908984e+000dB,1.79957651321255e+002°)
1.38038426460288e+000	(-3.02536518029163e+000dB,1.79956664892880e+002°)
1.41253754462275e+000	(-3.02536502448078e+000dB,1.79955655487569e+002°)
1.44543977074593e+000	(-3.02536486132679e+000dB,1.79954622570118e+002°)
1.47910838816821e+000	(-3.02536469048359e+000dB,1.79953565592852e+002°)
1.51356124843621e+000	(-3.02536451158882e+000dB,1.79952483995342e+002°)
1.54881661891248e+000	(-3.02536432426298e+000dB,1.79951377204101e+002°)
1.58489319246111e+000	(-3.02536412810876e+000dB,1.79950244632287e+002°)
1.62181009735893e+000	(-3.02536392271008e+000dB,1.79949085679385e+002°)
1.65958690743756e+000	(-3.02536370763127e+000dB,1.79947899730896e+002°)
1.69824365246174e+000	(-3.02536348241611e+000dB,1.79946686158001e+002°)
1.73780082874937e+000	(-3.02536324658689e+000dB,1.79945444317239e+002°)
1.77827941003892e+000	(-3.02536299964339e+000dB,1.79944173550158e+002°)
1.81970085860998e+000	(-3.02536274106181e+000dB,1.79942873182966e+002°)
1.86208713666287e+000	(-3.02536247029367e+000dB,1.79941542526180e+002°)
1.90546071796325e+000	(-3.02536218676462e+000dB,1.79940180874252e+002°)
1.94984459975804e+000	(-3.02536188987327e+000dB,1.79938787505203e+002°)
1.99526231496888e+000	(-3.02536157898988e+000dB,1.79937361680231e+002°)
2.04173794466953e+000	(-3.02536125345502e+000dB,1.79935902643329e+002°)
2.08929613085404e+000	(-3.02536091257818e+000dB,1.79934409620877e+002°)
2.13796208950223e+000	(-3.02536055563633e+000dB,1.79932881821234e+002°)
2.18776162394955e+000	(-3.02536018187235e+000dB,1.79931318434319e+002°)
2.23872113856834e+000	(-3.02535979049343e+000dB,1.79929718631181e+002°)
2.29086765276777e+000	(-3.02535938066941e+000dB,1.79928081563557e+002°)
2.34422881531992e+000	(-3.02535895153100e+000dB,1.79926406363427e+002°)
2.39883291901949e+000	(-3.02535850216795e+000dB,1.79924692142548e+002°)
2.45470891568503e+000	(-3.02535803162709e+000dB,1.79922937991986e+002°)
2.51188643150958e+000	(-3.02535753891036e+000dB,1.79921142981636e+002°)
2.57039578276886e+000	(-3.02535702297263e+000dB,1.79919306159724e+002°)
2.63026799189538e+000	(-3.02535648271954e+000dB,1.79917426552305e+002°)
2.69153480392691e+000	(-3.02535591700515e+000dB,1.79915503162745e+002°)
2.75422870333816e+000	(-3.02535532462950e+000dB,1.79913534971195e+002°)
2.81838293126445e+000	(-3.02535470433610e+000dB,1.79911520934047e+002°)
2.88403150312660e+000	(-3.02535405480921e+000dB,1.79909459983382e+002°)
2.95120922666638e+000	(-3.02535337467113e+000dB,1.79907351026405e+002°)
3.01995172040201e+000	(-3.02535266247918e+000dB,1.79905192944860e+002°)
3.09029543251359e+000	(-3.02535191672273e+000dB,1.79902984594443e+002°)
3.16227766016837e+000	(-3.02535113581993e+000dB,1.79900724804192e+002°)
3.23593656929628e+000	(-3.02535031811440e+000dB,1.79898412375866e+002°)
3.31131121482591e+000	(-3.02534946187168e+000dB,1.79896046083310e+002°)
3.38844156139202e+000	(-3.02534856527558e+000dB,1.79893624671804e+002°)
3.46736850452531e+000	(-3.02534762642431e+000dB,1.79891146857396e+002°)
3.54813389233575e+000	(-3.02534664332647e+000dB,1.79888611326224e+002°)
3.63078054770101e+000	(-3.02534561389678e+000dB,1.79886016733818e+002°)
3.71535229097172e+000	(-3.02534453595170e+000dB,1.79883361704382e+002°)
3.80189396320560e+000	(-3.02534340720478e+000dB,1.79880644830072e+002°)
3.89045144994280e+000	(-3.02534222526184e+000dB,1.79877864670243e+002°)
3.98107170553496e+000	(-3.02534098761581e+000dB,1.79875019750686e+002°)
4.07380277804112e+000	(-3.02533969164153e+000dB,1.79872108562848e+002°)
4.16869383470335e+000	(-3.02533833459009e+000dB,1.79869129563028e+002°)
4.26579518801592e+000	(-3.02533691358303e+000dB,1.79866081171560e+002°)
4.36515832240165e+000	(-3.02533542560623e+000dB,1.79862961771974e+002°)
4.46683592150962e+000	(-3.02533386750353e+000dB,1.79859769710139e+002°)
4.57088189614874e+000	(-3.02533223597004e+000dB,1.79856503293383e+002°)
4.67735141287197e+000	(-3.02533052754510e+000dB,1.79853160789596e+002°)
4.78630092322637e+000	(-3.02532873860494e+000dB,1.79849740426312e+002°)
4.89778819368445e+000	(-3.02532686535507e+000dB,1.79846240389766e+002°)
5.01187233627271e+000	(-3.02532490382210e+000dB,1.79842658823931e+002°)
5.12861383991364e+000	(-3.02532284984544e+000dB,1.79838993829533e+002°)
5.24807460249771e+000	(-3.02532069906840e+000dB,1.79835243463044e+002°)
5.37031796370252e+000	(-3.02531844692896e+000dB,1.79831405735651e+002°)
5.49540873857623e+000	(-3.02531608865014e+000dB,1.79827478612194e+002°)
5.62341325190348e+000	(-3.02531361922979e+000dB,1.79823460010093e+002°)
5.75439937337156e+000	(-3.02531103343005e+000dB,1.79819347798236e+002°)
5.88843655355588e+000	(-3.02530832576619e+000dB,1.79815139795852e+002°)
6.02559586074356e+000	(-3.02530549049504e+000dB,1.79810833771348e+002°)
6.16595001861481e+000	(-3.02530252160273e+000dB,1.79806427441128e+002°)
6.30957344480192e+000	(-3.02529941279201e+000dB,1.79801918468376e+002°)
6.45654229034654e+000	(-3.02529615746881e+000dB,1.79797304461817e+002°)
6.60693448007594e+000	(-3.02529274872836e+000dB,1.79792582974447e+002°)
6.76082975391980e+000	(-3.02528917934044e+000dB,1.79787751502230e+002°)
6.91830970918935e+000	(-3.02528544173414e+000dB,1.79782807482770e+002°)
7.07945784384136e+000	(-3.02528152798172e+000dB,1.79777748293945e+002°)
