Freq.	V(vout)
1.00000000000000e+000	(-3.02536718502067e+000dB,1.79973519437815e+002°)
1.02329299228075e+000	(-3.02536712369088e+000dB,1.79972902626048e+002°)
1.04712854805090e+000	(-3.02536705947071e+000dB,1.79972271446872e+002°)
1.07151930523761e+000	(-3.02536699222395e+000dB,1.79971625565626e+002°)
1.09647819614318e+000	(-3.02536692180794e+000dB,1.79970964639854e+002°)
1.12201845430196e+000	(-3.02536684807332e+000dB,1.79970288319123e+002°)
1.14815362149688e+000	(-3.02536677086370e+000dB,1.79969596244835e+002°)
1.17489755493953e+000	(-3.02536669001531e+000dB,1.79968888050042e+002°)
1.20226443461741e+000	(-3.02536660535665e+000dB,1.79968163359248e+002°)
1.23026877081238e+000	(-3.02536651670815e+000dB,1.79967421788209e+002°)
1.25892541179417e+000	(-3.02536642388177e+000dB,1.79966662943733e+002°)
1.28824955169313e+000	(-3.02536632668062e+000dB,1.79965886423466e+002°)
1.31825673855641e+000	(-3.02536622489852e+000dB,1.79965091815685e+002°)
1.34896288259165e+000	(-3.02536611831959e+000dB,1.79964278699075e+002°)
1.38038426460288e+000	(-3.02536600671775e+000dB,1.79963446642507e+002°)
1.41253754462275e+000	(-3.02536588985627e+000dB,1.79962595204811e+002°)
1.44543977074593e+000	(-3.02536576748728e+000dB,1.79961723934538e+002°)
1.47910838816821e+000	(-3.02536563935122e+000dB,1.79960832369726e+002°)
1.51356124843621e+000	(-3.02536550517630e+000dB,1.79959920037650e+002°)
1.54881661891248e+000	(-3.02536536467792e+000dB,1.79958986454576e+002°)
1.58489319246111e+000	(-3.02536521755804e+000dB,1.79958031125499e+002°)
1.62181009735893e+000	(-3.02536506350463e+000dB,1.79957053543887e+002°)
1.65958690743756e+000	(-3.02536490219090e+000dB,1.79956053191407e+002°)
1.69824365246174e+000	(-3.02536473327469e+000dB,1.79955029537651e+002°)
1.73780082874937e+000	(-3.02536455639772e+000dB,1.79953982039860e+002°)
1.77827941003892e+000	(-3.02536437118479e+000dB,1.79952910142627e+002°)
1.81970085860998e+000	(-3.02536417724305e+000dB,1.79951813277611e+002°)
1.86208713666287e+000	(-3.02536397416112e+000dB,1.79950690863232e+002°)
1.90546071796325e+000	(-3.02536376150824e+000dB,1.79949542304362e+002°)
1.94984459975804e+000	(-3.02536353883334e+000dB,1.79948366992009e+002°)
1.99526231496888e+000	(-3.02536330566411e+000dB,1.79947164302998e+002°)
2.04173794466953e+000	(-3.02536306150595e+000dB,1.79945933599635e+002°)
2.08929613085404e+000	(-3.02536280584098e+000dB,1.79944674229374e+002°)
2.13796208950223e+000	(-3.02536253812689e+000dB,1.79943385524467e+002°)
2.18776162394955e+000	(-3.02536225779585e+000dB,1.79942066801612e+002°)
2.23872113856834e+000	(-3.02536196425321e+000dB,1.79940717361590e+002°)
2.29086765276777e+000	(-3.02536165687634e+000dB,1.79939336488895e+002°)
2.34422881531992e+000	(-3.02536133501327e+000dB,1.79937923451353e+002°)
2.39883291901949e+000	(-3.02536099798126e+000dB,1.79936477499735e+002°)
2.45470891568503e+000	(-3.02536064506543e+000dB,1.79934997867359e+002°)
2.51188643150958e+000	(-3.02536027551721e+000dB,1.79933483769684e+002°)
2.57039578276886e+000	(-3.02535988855275e+000dB,1.79931934403893e+002°)
2.63026799189538e+000	(-3.02535948335122e+000dB,1.79930348948468e+002°)
2.69153480392691e+000	(-3.02535905905314e+000dB,1.79928726562755e+002°)
2.75422870333816e+000	(-3.02535861475854e+000dB,1.79927066386516e+002°)
2.81838293126445e+000	(-3.02535814952500e+000dB,1.79925367539474e+002°)
2.88403150312660e+000	(-3.02535766236570e+000dB,1.79923629120847e+002°)
2.95120922666638e+000	(-3.02535715224733e+000dB,1.79921850208870e+002°)
3.01995172040201e+000	(-3.02535661808784e+000dB,1.79920029860304e+002°)
3.09029543251359e+000	(-3.02535605875423e+000dB,1.79918167109938e+002°)
3.16227766016837e+000	(-3.02535547306006e+000dB,1.79916260970075e+002°)
3.23593656929628e+000	(-3.02535485976303e+000dB,1.79914310430011e+002°)
3.31131121482591e+000	(-3.02535421756224e+000dB,1.79912314455498e+002°)
3.38844156139202e+000	(-3.02535354509550e+000dB,1.79910271988192e+002°)
3.46736850452531e+000	(-3.02535284093644e+000dB,1.79908181945096e+002°)
3.54813389233575e+000	(-3.02535210359144e+000dB,1.79906043217984e+002°)
3.63078054770101e+000	(-3.02535133149650e+000dB,1.79903854672811e+002°)
3.71535229097172e+000	(-3.02535052301391e+000dB,1.79901615149117e+002°)
3.80189396320560e+000	(-3.02534967642880e+000dB,1.79899323459404e+002°)
3.89045144994280e+000	(-3.02534878994544e+000dB,1.79896978388512e+002°)
3.98107170553496e+000	(-3.02534786168349e+000dB,1.79894578692972e+002°)
4.07380277804112e+000	(-3.02534688967401e+000dB,1.79892123100345e+002°)
4.16869383470335e+000	(-3.02534587185523e+000dB,1.79889610308550e+002°)
4.26579518801592e+000	(-3.02534480606826e+000dB,1.79887038985170e+002°)
4.36515832240165e+000	(-3.02534369005243e+000dB,1.79884407766748e+002°)
4.46683592150962e+000	(-3.02534252144053e+000dB,1.79881715258061e+002°)
4.57088189614874e+000	(-3.02534129775381e+000dB,1.79878960031383e+002°)
4.67735141287197e+000	(-3.02534001639668e+000dB,1.79876140625721e+002°)
4.78630092322637e+000	(-3.02533867465124e+000dB,1.79873255546048e+002°)
4.89778819368445e+000	(-3.02533726967149e+000dB,1.79870303262505e+002°)
5.01187233627271e+000	(-3.02533579847732e+000dB,1.79867282209587e+002°)
5.12861383991364e+000	(-3.02533425794815e+000dB,1.79864190785318e+002°)
5.24807460249771e+000	(-3.02533264481634e+000dB,1.79861027350395e+002°)
5.37031796370252e+000	(-3.02533095566028e+000dB,1.79857790227324e+002°)
5.49540873857623e+000	(-3.02532918689708e+000dB,1.79854477699523e+002°)
5.62341325190348e+000	(-3.02532733477499e+000dB,1.79851088010415e+002°)
5.75439937337156e+000	(-3.02532539536547e+000dB,1.79847619362495e+002°)
5.88843655355588e+000	(-3.02532336455483e+000dB,1.79844069916375e+002°)
6.02559586074356e+000	(-3.02532123803551e+000dB,1.79840437789808e+002°)
6.16595001861481e+000	(-3.02531901129694e+000dB,1.79836721056688e+002°)
6.30957344480192e+000	(-3.02531667961599e+000dB,1.79832917746029e+002°)
6.45654229034654e+000	(-3.02531423804692e+000dB,1.79829025840914e+002°)
6.60693448007594e+000	(-3.02531168141094e+000dB,1.79825043277432e+002°)
6.76082975391980e+000	(-3.02530900428516e+000dB,1.79820967943571e+002°)
6.91830970918935e+000	(-3.02530620099116e+000dB,1.79816797678108e+002°)
7.07945784384136e+000	(-3.02530326558290e+000dB,1.79812530269452e+002°)
