Freq.	V(vout)
1.00000000000000e+000	(-1.57608559705461e-004dB,-2.54591888979221e-003°)
1.02329299228075e+000	(-1.57584348907097e-004dB,-2.60522096612510e-003°)
1.04712854805090e+000	(-1.57558997100667e-004dB,-2.66590436578548e-003°)
1.07151930523761e+000	(-1.57532450487304e-004dB,-2.72800126396385e-003°)
1.09647819614318e+000	(-1.57504652776275e-004dB,-2.79154458531048e-003°)
1.12201845430196e+000	(-1.57475544998863e-004dB,-2.85656802139176e-003°)
1.14815362149688e+000	(-1.57445065417718e-004dB,-2.92310604855468e-003°)
1.17489755493953e+000	(-1.57413149373525e-004dB,-2.99119394620672e-003°)
1.20226443461741e+000	(-1.57379729174107e-004dB,-3.06086781552175e-003°)
1.23026877081238e+000	(-1.57344733931451e-004dB,-3.13216459858209e-003°)
1.25892541179417e+000	(-1.57308089410301e-004dB,-3.20512209796536e-003°)
1.28824955169313e+000	(-1.57269717889300e-004dB,-3.27977899678878e-003°)
1.31825673855641e+000	(-1.57229537970045e-004dB,-3.35617487921985e-003°)
1.34896288259165e+000	(-1.57187464429542e-004dB,-3.43435025146475e-003°)
1.38038426460288e+000	(-1.57143408027340e-004dB,-3.51434656324563e-003°)
1.41253754462275e+000	(-1.57097275306877e-004dB,-3.59620622977811e-003°)
1.44543977074593e+000	(-1.57048968424788e-004dB,-3.67997265426206e-003°)
1.47910838816821e+000	(-1.56998384901139e-004dB,-3.76569025089331e-003°)
1.51356124843621e+000	(-1.56945417447782e-004dB,-3.85340446841474e-003°)
1.54881661891248e+000	(-1.56889953721472e-004dB,-3.94316181421397e-003°)
1.58489319246111e+000	(-1.56831876071218e-004dB,-4.03500987898291e-003°)
1.62181009735893e+000	(-1.56771061300088e-004dB,-4.12899736195130e-003°)
1.65958690743756e+000	(-1.56707380417368e-004dB,-4.22517409670928e-003°)
1.69824365246174e+000	(-1.56640698349267e-004dB,-4.32359107763044e-003°)
1.73780082874937e+000	(-1.56570873650573e-004dB,-4.42430048690996e-003°)
1.77827941003892e+000	(-1.56497758217281e-004dB,-4.52735572223496e-003°)
1.81970085860998e+000	(-1.56421196951966e-004dB,-4.63281142509494e-003°)
1.86208713666287e+000	(-1.56341027469658e-004dB,-4.74072350975799e-003°)
1.90546071796325e+000	(-1.56257079716929e-004dB,-4.85114919291575e-003°)
1.94984459975804e+000	(-1.56169175625691e-004dB,-4.96414702402314e-003°)
1.99526231496888e+000	(-1.56077128732283e-004dB,-5.07977691634304e-003°)
2.04173794466953e+000	(-1.55980743811986e-004dB,-5.19810017871487e-003°)
2.08929613085404e+000	(-1.55879816410352e-004dB,-5.31917954806288e-003°)
2.13796208950223e+000	(-1.55774132440108e-004dB,-5.44307922266126e-003°)
2.18776162394955e+000	(-1.55663467742386e-004dB,-5.56986489617581e-003°)
2.23872113856834e+000	(-1.55547587573686e-004dB,-5.69960379249700e-003°)
2.29086765276777e+000	(-1.55426246137212e-004dB,-5.83236470138458e-003°)
2.34422881531992e+000	(-1.55299186051520e-004dB,-5.96821801494491e-003°)
2.39883291901949e+000	(-1.55166137811449e-004dB,-6.10723576495323e-003°)
2.45470891568503e+000	(-1.55026819197947e-004dB,-6.24949166105238e-003°)
2.51188643150958e+000	(-1.54880934695608e-004dB,-6.39506112983389e-003°)
2.57039578276886e+000	(-1.54728174868747e-004dB,-6.54402135483505e-003°)
2.63026799189538e+000	(-1.54568215690217e-004dB,-6.69645131746563e-003°)
2.69153480392691e+000	(-1.54400717863480e-004dB,-6.85243183888793e-003°)
2.75422870333816e+000	(-1.54225326108031e-004dB,-7.01204562287350e-003°)
2.81838293126445e+000	(-1.54041668384072e-004dB,-7.17537729965731e-003°)
2.88403150312660e+000	(-1.53849355135503e-004dB,-7.34251347081407e-003°)
2.95120922666638e+000	(-1.53647978438415e-004dB,-7.51354275518011e-003°)
3.01995172040201e+000	(-1.53437111146685e-004dB,-7.68855583584683e-003°)
3.09029543251359e+000	(-1.53216305979712e-004dB,-7.86764550824357e-003°)
3.16227766016837e+000	(-1.52985094580264e-004dB,-8.05090672934809e-003°)
3.23593656929628e+000	(-1.52742986523134e-004dB,-8.23843666803902e-003°)
3.31131121482591e+000	(-1.52489468246662e-004dB,-8.43033475662124e-003°)
3.38844156139202e+000	(-1.52224002017998e-004dB,-8.62670274355601e-003°)
3.46736850452531e+000	(-1.51946024743115e-004dB,-8.82764474741282e-003°)
3.54813389233575e+000	(-1.51654946790318e-004dB,-9.03326731208612e-003°)
3.63078054770101e+000	(-1.51350150757829e-004dB,-9.24367946329308e-003°)
3.71535229097172e+000	(-1.51030990108285e-004dB,-9.45899276638802e-003°)
3.80189396320560e+000	(-1.50696787876537e-004dB,-9.67932138552982e-003°)
3.89045144994280e+000	(-1.50346835160464e-004dB,-9.90478214421984e-003°)
