Freq.	V(vout)
1.00000000000000e+000	(-1.43802294075442e-004dB,-2.30951597670508e-003°)
1.02329299228075e+000	(-1.43782368675501e-004dB,-2.36331151996077e-003°)
1.04712854805090e+000	(-1.43761504223050e-004dB,-2.41836012277922e-003°)
1.07151930523761e+000	(-1.43739656454731e-004dB,-2.47469097269481e-003°)
1.09647819614318e+000	(-1.43716779031922e-004dB,-2.53233393710922e-003°)
1.12201845430196e+000	(-1.43692823436584e-004dB,-2.59131957912736e-003°)
1.14815362149688e+000	(-1.43667738840115e-004dB,-2.65167917376228e-003°)
1.17489755493953e+000	(-1.43641472046447e-004dB,-2.71344472451850e-003°)
1.20226443461741e+000	(-1.43613967336795e-004dB,-2.77664898036038e-003°)
1.23026877081238e+000	(-1.43585166367428e-004dB,-2.84132545307639e-003°)
1.25892541179417e+000	(-1.43555008055884e-004dB,-2.90750843504811e-003°)
1.28824955169313e+000	(-1.43523428428601e-004dB,-2.97523301743224e-003°)
1.31825673855641e+000	(-1.43490360485908e-004dB,-3.04453510876682e-003°)
1.34896288259165e+000	(-1.43455734112342e-004dB,-3.11545145401169e-003°)
1.38038426460288e+000	(-1.43419475845207e-004dB,-3.18801965402978e-003°)
1.41253754462275e+000	(-1.43381508778139e-004dB,-3.26227818552540e-003°)
1.44543977074593e+000	(-1.43341752374986e-004dB,-3.33826642144489e-003°)
1.47910838816821e+000	(-1.43300122306838e-004dB,-3.41602465185310e-003°)
1.51356124843621e+000	(-1.43256530279407e-004dB,-3.49559410529661e-003°)
1.54881661891248e+000	(-1.43210883821838e-004dB,-3.57701697066357e-003°)
1.58489319246111e+000	(-1.43163086112161e-004dB,-3.66033641955345e-003°)
1.62181009735893e+000	(-1.43113035765136e-004dB,-3.74559662916819e-003°)
1.65958690743756e+000	(-1.43060626624923e-004dB,-3.83284280573566e-003°)
1.69824365246174e+000	(-1.43005747507598e-004dB,-3.92212120847950e-003°)
1.73780082874937e+000	(-1.42948282020826e-004dB,-4.01347917414688e-003°)
1.77827941003892e+000	(-1.42888108270695e-004dB,-4.10696514210838e-003°)
1.81970085860998e+000	(-1.42825098610993e-004dB,-4.20262868004105e-003°)
1.86208713666287e+000	(-1.42759119400194e-004dB,-4.30052051021123e-003°)
1.90546071796325e+000	(-1.42690030690934e-004dB,-4.40069253636947e-003°)
1.94984459975804e+000	(-1.42617685924322e-004dB,-4.50319787127100e-003°)
1.99526231496888e+000	(-1.42541931653171e-004dB,-4.60809086483767e-003°)
2.04173794466953e+000	(-1.42462607199655e-004dB,-4.71542713297703e-003°)
2.08929613085404e+000	(-1.42379544290793e-004dB,-4.82526358707076e-003°)
2.13796208950223e+000	(-1.42292566750822e-004dB,-4.93765846415232e-003°)
2.18776162394955e+000	(-1.42201490086530e-004dB,-5.05267135778495e-003°)
2.23872113856834e+000	(-1.42106121106341e-004dB,-5.17036324966202e-003°)
2.29086765276777e+000	(-1.42006257523010e-004dB,-5.29079654194053e-003°)
2.34422881531992e+000	(-1.41901687512917e-004dB,-5.41403509033019e-003°)
2.39883291901949e+000	(-1.41792189274402e-004dB,-5.54014423795202e-003°)
2.45470891568503e+000	(-1.41677530536914e-004dB,-5.66919084998646e-003°)
2.51188643150958e+000	(-1.41557468097162e-004dB,-5.80124334912710e-003°)
2.57039578276886e+000	(-1.41431747291628e-004dB,-5.93637175186375e-003°)
2.63026799189538e+000	(-1.41300101438207e-004dB,-6.07464770560619e-003°)
2.69153480392691e+000	(-1.41162251314508e-004dB,-6.21614452667685e-003°)
2.75422870333816e+000	(-1.41017904505952e-004dB,-6.36093723918541e-003°)
2.81838293126445e+000	(-1.40866754838749e-004dB,-6.50910261481211e-003°)
2.88403150312660e+000	(-1.40708481705823e-004dB,-6.66071921351555e-003°)
2.95120922666638e+000	(-1.40542749384060e-004dB,-6.81586742518869e-003°)
3.01995172040201e+000	(-1.40369206339020e-004dB,-6.97462951228872e-003°)
3.09029543251359e+000	(-1.40187484459259e-004dB,-7.13708965345484e-003°)
3.16227766016837e+000	(-1.39997198286780e-004dB,-7.30333398814669e-003°)
3.23593656929628e+000	(-1.39797944193496e-004dB,-7.47345066232114e-003°)
3.31131121482591e+000	(-1.39589299549969e-004dB,-7.64752987517313e-003°)
3.38844156139202e+000	(-1.39370821776506e-004dB,-7.82566392696482e-003°)
3.46736850452531e+000	(-1.39142047455968e-004dB,-8.00794726797048e-003°)
3.54813389233575e+000	(-1.38902491329899e-004dB,-8.19447654856211e-003°)
3.63078054770101e+000	(-1.38651645259936e-004dB,-8.38535067045943e-003°)
3.71535229097172e+000	(-1.38388977176687e-004dB,-8.58067083917734e-003°)
3.80189396320560e+000	(-1.38113929914813e-004dB,-8.78054061769265e-003°)
3.89045144994280e+000	(-1.37825920072222e-004dB,-8.98506598136234e-003°)
3.98107170553496e+000	(-1.37524336731369e-004dB,-9.19435537412213e-003°)
4.07380277804112e+000	(-1.37208540190186e-004dB,-9.40851976599335e-003°)
4.16869383470335e+000	(-1.36877860611058e-004dB,-9.62767271193095e-003°)
4.26579518801592e+000	(-1.36531596566614e-004dB,-9.85193041204084e-003°)
4.36515832240165e+000	(-1.36169013587437e-004dB,-1.00814117732033e-002°)
4.46683592150962e+000	(-1.35789342578643e-004dB,-1.03162384721296e-002°)
4.57088189614874e+000	(-1.35391778216194e-004dB,-1.05565350198906e-002°)
4.67735141287197e+000	(-1.34975477206289e-004dB,-1.08024288279474e-002°)
4.78630092322637e+000	(-1.34539556504247e-004dB,-1.10540502757182e-002°)
4.89778819368445e+000	(-1.34083091478431e-004dB,-1.13115327797283e-002°)
5.01187233627271e+000	(-1.33605113889977e-004dB,-1.15750128643615e-002°)
5.12861383991364e+000	(-1.33104609880257e-004dB,-1.18446302342662e-002°)
5.24807460249771e+000	(-1.32580517820422e-004dB,-1.21205278484498e-002°)
5.37031796370252e+000	(-1.32031726025962e-004dB,-1.24028519960954e-002°)
5.49540873857623e+000	(-1.31457070441365e-004dB,-1.26917523741495e-002°)
5.62341325190348e+000	(-1.30855332120337e-004dB,-1.29873821667159e-002°)
5.75439937337156e+000	(-1.30225234712789e-004dB,-1.32898981263048e-002°)
5.88843655355588e+000	(-1.29565441682767e-004dB,-1.35994606569664e-002°)
6.02559586074356e+000	(-1.28874553507108e-004dB,-1.39162338993732e-002°)
6.16595001861481e+000	(-1.28151104721732e-004dB,-1.42403858178783e-002°)
6.30957344480192e+000	(-1.27393560785687e-004dB,-1.45720882896064e-002°)
6.45654229034654e+000	(-1.26600314829470e-004dB,-1.49115171956207e-002°)
6.60693448007594e+000	(-1.25769684274151e-004dB,-1.52588525142163e-002°)
6.76082975391980e+000	(-1.24899907219051e-004dB,-1.56142784163877e-002°)
6.91830970918935e+000	(-1.23989138750357e-004dB,-1.59779833635211e-002°)
7.07945784384136e+000	(-1.23035446979740e-004dB,-1.63501602073706e-002°)
7.24435960074988e+000	(-1.22036808996190e-004dB,-1.67310062923563e-002°)
7.41310241300916e+000	(-1.20991106537239e-004dB,-1.71207235602554e-002°)
7.58577575029182e+000	(-1.19896121506875e-004dB,-1.75195186573330e-002°)
7.76247116628690e+000	(-1.18749531278420e-004dB,-1.79276030439690e-002°)
7.94328234724279e+000	(-1.17548903762130e-004dB,-1.83451931068451e-002°)
8.12830516164097e+000	(-1.16291692238482e-004dB,-1.87725102737467e-002°)
8.31763771102669e+000	(-1.14975229978355e-004dB,-1.92097811310440e-002°)
8.51138038202374e+000	(-1.13596724549840e-004dB,-1.96572375439100e-002°)
8.70963589956078e+000	(-1.12153251943762e-004dB,-2.01151167793514e-002°)
8.91250938133743e+000	(-1.10641750316406e-004dB,-2.05836616321000e-002°)
9.12010839355907e+000	(-1.09059013537465e-004dB,-2.10631205534476e-002°)
9.33254300796988e+000	(-1.07401684375439e-004dB,-2.15537477830893e-002°)
9.54992586021433e+000	(-1.05666247371585e-004dB,-2.20558034840366e-002°)
9.77237220955808e+000	(-1.03849021380256e-004dB,-2.25695538806812e-002°)
9.99999999999997e+000	(-1.01946151769828e-004dB,-2.30952714000925e-002°)
1.02329299228075e+001	(-9.99536022524175e-005dB,-2.36332348165952e-002°)
1.04712854805090e+001	(-9.78671462854786e-005dB,-2.41837293997331e-002°)
1.07151930523760e+001	(-9.56823581706677e-005dB,-2.47470470656932e-002°)
1.09647819614318e+001	(-9.33946035847734e-005dB,-2.53234865322480e-002°)
1.12201845430196e+001	(-9.09990298272065e-005dB,-2.59133534773360e-002°)
1.14815362149688e+001	(-8.84905554696804e-005dB,-2.65169607013314e-002°)
1.17489755493953e+001	(-8.58638596096375e-005dB,-2.71346282931158e-002°)
1.20226443461741e+001	(-8.31133705663843e-005dB,-2.77666838000185e-002°)
1.23026877081238e+001	(-8.02332540662337e-005dB,-2.84134624017382e-002°)
1.25892541179416e+001	(-7.72174008694134e-005dB,-2.90753070883203e-002°)
1.28824955169313e+001	(-7.40594137972830e-005dB,-2.97525688423022e-002°)
1.31825673855640e+001	(-7.07525941974836e-005dB,-3.04456068251160e-002°)
1.34896288259165e+001	(-6.72899276782737e-005dB,-3.11547885678374e-002°)
1.38038426460288e+001	(-6.36640692914327e-005dB,-3.18804901664133e-002°)
1.41253754462275e+001	(-5.98673278937353e-005dB,-3.26230964814448e-002°)
1.44543977074592e+001	(-5.58916498721669e-005dB,-3.33830013426396e-002°)
1.47910838816820e+001	(-5.17286020226739e-005dB,-3.41606077580710e-002°)
1.51356124843620e+001	(-4.73693537107292e-005dB,-3.49563281283025e-002°)
1.54881661891248e+001	(-4.28046580842225e-005dB,-3.57705844655494e-002°)
1.58489319246111e+001	(-3.80248325007124e-005dB,-3.66038086179632e-002°)
1.62181009735892e+001	(-3.30197379511268e-005dB,-3.74564424991688e-002°)
1.65958690743755e+001	(-2.77787575783077e-005dB,-3.83289383231814e-002°)
1.69824365246174e+001	(-2.22907741322819e-005dB,-3.92217588448244e-002°)
1.73780082874937e+001	(-1.65441463999056e-005dB,-4.01353776057859e-002°)
1.77827941003892e+001	(-1.05266845086343e-005dB,-4.10702791864460e-002°)
1.81970085860998e+001	(-4.22562405720975e-006dB,-4.20269594636056e-002°)
1.86208713666286e+001	(2.37240096525881e-006dB,-4.30059258742609e-002°)
1.90546071796324e+001	(9.28138650937277e-006dB,-4.40076976855845e-002°)
1.94984459975804e+001	(1.65159882114517e-005dB,-4.50328062712161e-002°)
1.99526231496887e+001	(2.40915524271483e-005dB,-4.60817953940698e-002°)
2.04173794466952e+001	(3.20241488322545e-005dB,-4.71552214957717e-002°)
2.08929613085403e+001	(4.03306044884005e-005dB,-4.82536539928992e-002°)
2.13796208950222e+001	(4.90285395722116e-005dB,-4.93776755802036e-002°)
2.18776162394954e+001	(5.81364047273267e-005dB,-5.05278825409376e-002°)
2.23872113856833e+001	(6.76735202436105e-005dB,-5.17048850645159e-002°)
2.29086765276776e+001	(7.76601170113729e-005dB,-5.29093075716362e-002°)
2.34422881531991e+001	(8.81173794761206e-005dB,-5.41417890470676e-002°)
2.39883291901948e+001	(9.90674905840621e-005dB,-5.54029833802821e-002°)
2.45470891568502e+001	(1.10533678832005e-004dB,-5.66935597141170e-002°)
2.51188643150957e+001	(1.22540267564197e-004dB,-5.80142028016791e-002°)
2.57039578276885e+001	(1.35112726583442e-004dB,-5.93656133716538e-002°)
2.63026799189537e+001	(1.48277726193922e-004dB,-6.07485085022611e-002°)
2.69153480392690e+001	(1.62063193793179e-004dB,-6.21636220040555e-002°)
2.75422870333815e+001	(1.76498373130631e-004dB,-6.36117048117729e-002°)
2.81838293126444e+001	(1.91613886361622e-004dB,-6.50935253854622e-002°)
2.88403150312659e+001	(2.07441799037465e-004dB,-6.66098701211140e-002°)
2.95120922666637e+001	(2.24015688139196e-004dB,-6.81615437710431e-002°)
3.01995172040200e+001	(2.41370713328265e-004dB,-6.97493698742299e-002°)
3.09029543251358e+001	(2.59543691581560e-004dB,-7.13741911968952e-002°)
3.16227766016837e+001	(2.78573175299088e-004dB,-7.30368701835468e-002°)
3.23593656929627e+001	(2.98499534149991e-004dB,-7.47382894187601e-002°)
3.31131121482590e+001	(3.19365040721977e-004dB,-7.64793520999651e-002°)
3.38844156139201e+001	(3.41213960251339e-004dB,-7.82609825215014e-002°)
3.46736850452530e+001	(3.64092644564101e-004dB,-8.00841265702282e-002°)
3.54813389233574e+001	(3.88049630478365e-004dB,-8.19497522329734e-002°)
3.63078054770100e+001	(4.13135742813698e-004dB,-8.38588501161548e-002°)
3.71535229097171e+001	(4.39404202255554e-004dB,-8.58124339778107e-002°)
3.80189396320559e+001	(4.66910738351605e-004dB,-8.78115412724139e-002°)
3.89045144994279e+001	(4.95713707791352e-004dB,-8.98572337087746e-002°)
3.98107170553495e+001	(5.25874218320934e-004dB,-9.19505978213517e-002°)
4.07380277804111e+001	(5.57456258407691e-004dB,-9.40927455553425e-002°)
4.16869383470333e+001	(5.90526833156587e-004dB,-9.62848148658831e-002°)
4.26579518801591e+001	(6.25156106509897e-004dB,-9.85279703317014e-002°)
4.36515832240164e+001	(6.61417550268665e-004dB,-1.00823403783675e-001°)
